technique,persona,immediate_compliance,repeat_compliance,retaliation_probability
obfuscation,impulse_buyer,0.5168,0.1317,0.0
obfuscation,issue_activist,0.5025,0.126,0.0
obfuscation,liberal_base,0.4837,0.1185,0.0
obfuscation,persuadable_moderate,0.5056,0.1272,0.0
obfuscation,price_hunter,0.5025,0.126,0.0
obfuscation,skeptical_researcher,0.4977,0.1241,0.0
obfuscation,social_shopper,0.5127,0.1301,0.0
perspective_shifting,brand_loyalist,0.4982,0.2491,0.0
perspective_shifting,conservative_base,0.4982,0.2491,0.0
perspective_shifting,disengaged_voter,0.489,0.2445,0.0
perspective_shifting,impulse_buyer,0.5474,0.2737,0.0
perspective_shifting,issue_activist,0.507,0.2535,0.0
perspective_shifting,liberal_base,0.5222,0.2611,0.0
perspective_shifting,persuadable_moderate,0.5158,0.2579,0.0
perspective_shifting,price_hunter,0.507,0.2535,0.0
perspective_shifting,skeptical_researcher,0.5275,0.2637,0.0
perspective_shifting,social_shopper,0.5357,0.2678,0.0
reciprocity,brand_loyalist,0.5384,0.2565,0.0
reciprocity,conservative_base,0.5384,0.2565,0.0
reciprocity,disengaged_voter,0.5375,0.2559,0.0
reciprocity,impulse_buyer,0.6025,0.2966,0.0
reciprocity,issue_activist,0.5384,0.2565,0.0
reciprocity,liberal_base,0.5377,0.2561,0.0
reciprocity,persuadable_moderate,0.5529,0.2655,0.0
reciprocity,price_hunter,0.5384,0.2565,0.0
reciprocity,skeptical_researcher,0.5354,0.2546,0.0
reciprocity,social_shopper,0.6334,0.3159,0.0
red_herring,brand_loyalist,0.4348,0.1159,0.083
red_herring,conservative_base,0.436,0.1163,0.0846
red_herring,disengaged_voter,0.4213,0.1104,0.083
red_herring,impulse_buyer,0.4614,0.1275,0.1102
red_herring,issue_activist,0.4479,0.1211,0.083
red_herring,liberal_base,0.4326,0.1149,0.082
red_herring,persuadable_moderate,0.4493,0.122,0.083
red_herring,price_hunter,0.4479,0.1211,0.083
red_herring,skeptical_researcher,0.4426,0.119,0.082
red_herring,social_shopper,0.4436,0.1204,0.0728
rhetorical_question,brand_loyalist,0.4358,0.2179,0.0
rhetorical_question,conservative_base,0.4358,0.2179,0.0
rhetorical_question,disengaged_voter,0.4408,0.2204,0.0
rhetorical_question,impulse_buyer,0.4675,0.2338,0.0
rhetorical_question,issue_activist,0.4454,0.2227,0.0
rhetorical_question,liberal_base,0.435,0.2175,0.0
rhetorical_question,persuadable_moderate,0.4518,0.2259,0.0
rhetorical_question,price_hunter,0.4454,0.2227,0.0
rhetorical_question,skeptical_researcher,0.442,0.221,0.0
rhetorical_question,social_shopper,0.4569,0.2284,0.0
scarcity_appeal,brand_loyalist,0.4776,0.1289,0.0
scarcity_appeal,conservative_base,0.4776,0.1289,0.0
scarcity_appeal,disengaged_voter,0.4707,0.1259,0.0
scarcity_appeal,impulse_buyer,0.5827,0.1749,0.0
scarcity_appeal,issue_activist,0.4843,0.1319,0.0
scarcity_appeal,liberal_base,0.4829,0.1313,0.0
scarcity_appeal,persuadable_moderate,0.494,0.1361,0.0
scarcity_appeal,price_hunter,0.4843,0.1319,0.0
scarcity_appeal,skeptical_researcher,0.4865,0.1328,0.0
scarcity_appeal,social_shopper,0.5102,0.1432,0.0
self_disclosure,brand_loyalist,0.5311,0.2788,0.0
self_disclosure,conservative_base,0.5311,0.2788,0.0
self_disclosure,disengaged_voter,0.5227,0.2744,0.0
self_disclosure,impulse_buyer,0.5912,0.3104,0.0
self_disclosure,issue_activist,0.5286,0.2775,0.0
self_disclosure,liberal_base,0.5284,0.2774,0.0
self_disclosure,persuadable_moderate,0.5394,0.2832,0.0
self_disclosure,price_hunter,0.5286,0.2775,0.0
self_disclosure,skeptical_researcher,0.5232,0.2747,0.0
self_disclosure,social_shopper,0.5806,0.3048,0.0
slippery_slope,brand_loyalist,0.4999,0.055,0.069
slippery_slope,conservative_base,0.5026,0.0551,0.0728
slippery_slope,disengaged_voter,0.48,0.053,0.069
slippery_slope,impulse_buyer,0.5234,0.061,0.1049
slippery_slope,issue_activist,0.527,0.0567,0.0908
slippery_slope,liberal_base,0.4964,0.0546,0.068
slippery_slope,persuadable_moderate,0.5095,0.0556,0.069
slippery_slope,price_hunter,0.527,0.0567,0.0908
slippery_slope,skeptical_researcher,0.5197,0.0558,0.0895
slippery_slope,social_shopper,0.5216,0.0602,0.0594
social_proof,brand_loyalist,0.5268,0.3165,0.0
social_proof,conservative_base,0.5268,0.3165,0.0
social_proof,disengaged_voter,0.5156,0.3096,0.0
social_proof,impulse_buyer,0.6284,0.3771,0.0
social_proof,issue_activist,0.4655,0.28,0.0
social_proof,liberal_base,0.4874,0.2928,0.0
social_proof,persuadable_moderate,0.5027,0.3022,0.0
social_proof,price_hunter,0.4655,0.28,0.0
social_proof,skeptical_researcher,0.4622,0.2778,0.0
social_proof,social_shopper,0.5613,0.3371,0.0
storytelling,brand_loyalist,0.5298,0.3216,0.0
storytelling,conservative_base,0.5298,0.3216,0.0
storytelling,disengaged_voter,0.5177,0.3141,0.0
storytelling,impulse_buyer,0.5832,0.3536,0.0
storytelling,issue_activist,0.5923,0.3604,0.0
storytelling,liberal_base,0.66,0.4015,0.0
storytelling,persuadable_moderate,0.544,0.3307,0.0
storytelling,price_hunter,0.5356,0.3257,0.0
storytelling,skeptical_researcher,0.5398,0.3287,0.0
storytelling,social_shopper,0.6551,0.3978,0.0
straw_man,brand_loyalist,0.5434,0.1695,0.0
straw_man,conservative_base,0.5447,0.1701,0.0
straw_man,disengaged_voter,0.5318,0.1643,0.0
straw_man,impulse_buyer,0.5982,0.1942,0.0
straw_man,issue_activist,0.5495,0.1723,0.0
straw_man,liberal_base,0.5461,0.1707,0.0
straw_man,persuadable_moderate,0.5475,0.1714,0.0
straw_man,price_hunter,0.5495,0.1723,0.0
straw_man,skeptical_researcher,0.5431,0.1694,0.0
straw_man,social_shopper,0.5907,0.1908,0.0
urgency_appeal,brand_loyalist,0.4612,0.1511,0.0983
urgency_appeal,conservative_base,0.4612,0.1511,0.0983
urgency_appeal,disengaged_voter,0.4732,0.1575,0.0983
urgency_appeal,impulse_buyer,0.5796,0.2011,0.0983
urgency_appeal,issue_activist,0.4556,0.1464,0.114
urgency_appeal,liberal_base,0.4602,0.1509,0.0973
urgency_appeal,persuadable_moderate,0.4764,0.1564,0.0983
urgency_appeal,price_hunter,0.4522,0.1464,0.0983
urgency_appeal,skeptical_researcher,0.4495,0.1449,0.1128
urgency_appeal,social_shopper,0.484,0.1618,0.0866
whataboutism,brand_loyalist,0.4672,0.1491,0.0385
whataboutism,conservative_base,0.4683,0.1497,0.039
whataboutism,disengaged_voter,0.4558,0.1441,0.0385
whataboutism,impulse_buyer,0.5053,0.1672,0.0519
whataboutism,issue_activist,0.4781,0.154,0.0385
whataboutism,liberal_base,0.4648,0.1481,0.038
whataboutism,persuadable_moderate,0.4832,0.1566,0.0385
whataboutism,price_hunter,0.4781,0.154,0.0385
whataboutism,skeptical_researcher,0.4726,0.1515,0.038
whataboutism,social_shopper,0.4901,0.1605,0.0335
