weight_name,module,value,provenance,source_citation,sample_size,confidence_interval,domain,layer,last_calibration_date,flags
deliberation.contradictory_signals,circuit_predictor,0.15,UNCALIBRATED,Botvinick et al. 2001 (Science): ACC monitors response conflict. When conflicting signals are detect,,,universal,L2_circuit,,
deliberation.coping_suppress,circuit_predictor,0.15,CONSTRAINED,A/B testing: 'Takes 2 minutes' framing increases completion. Shopify one-page checkout eliminates AC,,"[0.10, 0.20] — consistent with effort-reduction conversion lifts",universal,L2_circuit,,
deliberation.goal_uncertainty_interaction,circuit_predictor,0.2,UNCALIBRATED,Smith & Ellsworth 1985: uncertainty only triggers effortful processing when the stimulus is goal-rel,,,universal,L2_circuit,,
deliberation.info_load,circuit_predictor,0.2,CALIBRATED,"Hick's Law: reaction time increases by ~150ms per doubling of choices (Hick 1952, replicated extensi",,"[0.15, 0.25] — Hick's Law provides tight bounds",universal,L2_circuit,,
deliberation.neg_certainty,circuit_predictor,0.3,CONSTRAINED,Scherer 2001: outcome probability/predictability is one of the 4 major appraisal checks in the seque,,"[0.25, 0.35] — uncertainty is the primary deliberation trigger",universal,L2_circuit,,
deliberation.temporal_suppress,circuit_predictor,0.2,CONSTRAINED,"Industry A/B data: urgency signals ('limited time', countdown timers) increase conversion by 10-30% ",,"[0.15, 0.25] — urgency effect is consistently measured at 10-30%",universal,L2_circuit,,
durability.certainty_valence,circuit_predictor,1.0,CONSTRAINED,Kahneman & Tversky 1979: decisions made with high confidence and positive affect are more stable ove,,"[0.8, 1.2] — reference term for durability",universal,L2_circuit,,
durability.urgency_reversal,circuit_predictor,-1.0,CONSTRAINED,Industry: 'buyer's remorse' is highest for urgency-driven purchases with low certainty. Flash sale r,,"[-1.5, -0.5] — return rate data bounds this",universal,L2_circuit,,
master.approach_weight,circuit_predictor,1.0,CONSTRAINED,Knutson 2007: NAcc (approach proxy) was the strongest single predictor of purchase. Brain-alone mode,,"[0.8, 1.2] — reference weight, others scaled relative",universal,L2_circuit,,
master.avoidance_weight,circuit_predictor,0.8,CONSTRAINED,Knutson 2007: insula (avoidance proxy) was significant but secondary to NAcc in predicting non-purch,,"[0.6, 1.0] — insula was significant but secondary to NAcc",universal,L2_circuit,,
master.deliberation_weight,circuit_predictor,0.6,UNCALIBRATED,No published data directly quantifies how deliberation (ACC/dlPFC) contributes to final purchase/non,,,universal,L2_circuit,,
master.interoceptive_weight,circuit_predictor,0.2,UNCALIBRATED,Seth 2013 (Nature Reviews Neuroscience): interoceptive precision varies across individuals (heartbea,,,universal,L2_circuit,,
master.somatic_weight,circuit_predictor,0.4,CONSTRAINED,"Berns & Moore 2012: NAcc predicted downloads, self-report didn't. This means somatic/implicit signal",,"[0.2, 0.6] — clearly contributes, clearly not dominant",universal,L2_circuit,,
campaign.authority_high_subversion_multiplier,domain_registry,1.5,UNCALIBRATED,High authority_subversion recipients defer to authority citations,,,campaign,L5_domain,,
campaign.authority_low_subversion_insula,domain_registry,0.15,UNCALIBRATED,Authority appeals to low-authority recipients trigger reactance (insula),,,campaign,L5_domain,,
campaign.authority_low_subversion_multiplier,domain_registry,0.6,UNCALIBRATED,Low authority_subversion produces reactance to authority appeals,,,campaign,L5_domain,,
campaign.emotional_narrative_multiplier,domain_registry,1.6,UNCALIBRATED,Emotional narrative is strongest technique for campaign messaging,,,campaign,L5_domain,,
campaign.fear_habituation_rate,domain_registry,0.3,UNCALIBRATED,Fear appeal diminishing returns: effectiveness = base / (1 + 0.3 * exposure_count),,,campaign,L5_domain,,
campaign.logical_appeal_multiplier,domain_registry,0.7,UNCALIBRATED,Logical appeal weaker for campaign than crisis — emotional resonance dominates,,,campaign,L5_domain,,
campaign.loyalty_approach_bonus,domain_registry,0.35,UNCALIBRATED,In-group signaling dominates partisan messaging when loyalty_betrayal > 0.6,,,campaign,L5_domain,,
campaign.loyalty_social_proof_multiplier,domain_registry,1.5,UNCALIBRATED,Social proof amplified by loyalty foundation in partisan context,,,campaign,L5_domain,,
campaign.moral_reframing_high_mf_bonus,domain_registry,0.1,UNCALIBRATED,Preaching to choir = weaker effect than reframing,,,campaign,L5_domain,,
campaign.moral_reframing_low_mf_bonus,domain_registry,0.3,CONSTRAINED,Feinberg & Willer 2015: framing using recipient's LOW moral foundations increases support,,"(0.2, 0.4)",campaign,L5_domain,,
crisis.defensive_approach_multiplier,domain_registry,0.5,UNCALIBRATED,"Defensive techniques (whataboutism, straw_man, red_herring) produce negative effectiveness",,,crisis_pr,L5_domain,,
crisis.defensive_retaliation_bonus,domain_registry,0.35,UNCALIBRATED,Defensive techniques amplify backlash — retaliation_probability increases,,,crisis_pr,L5_domain,,
crisis.empathy_customer_approach_bonus,domain_registry,0.2,UNCALIBRATED,Empathy appeal works for customers in crisis context,,,crisis_pr,L5_domain,,
crisis.empathy_regulator_insula_bonus,domain_registry,0.2,UNCALIBRATED,Empathy appeal with regulators perceived as deflection — insula activation,,,crisis_pr,L5_domain,,
crisis.logical_evidence_multiplier,domain_registry,1.8,UNCALIBRATED,Logical appeal + evidence_based strongest for crisis PR credibility recovery,,,crisis_pr,L5_domain,,
crisis.timing_fast_trust_bonus,domain_registry,0.15,UNCALIBRATED,Response within hours: trust_recovery_bonus = +0.15,,,crisis_pr,L5_domain,,
crisis.timing_slow_trust_penalty,domain_registry,-0.2,UNCALIBRATED,"Response after days: trust_penalty = -0.20, avoidance += 0.1",,,crisis_pr,L5_domain,,
crisis.timing_very_slow_retaliation,domain_registry,0.25,UNCALIBRATED,Response after weeks: retaliation_probability += 0.25,,,crisis_pr,L5_domain,,
crisis.transparency_multiplier,domain_registry,2.0,UNCALIBRATED,Transparency (self_disclosure + evidence_based) is the only path to trust recovery,,,crisis_pr,L5_domain,,
ecom.anchoring_weight_multiplier,domain_registry,1.8,UNCALIBRATED,Price anchoring maps directly to anchoring technique in purchase context,,,ecommerce,L5_domain,,
ecom.false_scarcity_insula_multiplier,domain_registry,1.3,UNCALIBRATED,Savvy shoppers detect artificial scarcity — insula amplified,,,ecommerce,L5_domain,,
ecom.loss_frame_valence_multiplier,domain_registry,1.5,CONSTRAINED,"Knutson et al. 2007: NAc activation predicts purchase, insula predicts rejection",,"(1.2, 1.8)",ecommerce,L5_domain,,
ecom.reciprocity_approach_bonus,domain_registry,0.25,UNCALIBRATED,Free trials/samples produce strongest approach activation in e-commerce,,,ecommerce,L5_domain,,
ecom.scarcity_circuit_multiplier,domain_registry,2.0,UNCALIBRATED,Scarcity drives purchase urgency at ~2x the weight it drives opinion change,,,ecommerce,L5_domain,,
ecom.social_proof_extraversion_multiplier,domain_registry,1.4,UNCALIBRATED,Social shopping amplification for high-extraversion recipients,,,ecommerce,L5_domain,,
ecom.urgency_temporal_multiplier,domain_registry,1.6,UNCALIBRATED,Countdown timers drive cart completion — temporal_proximity shift amplified,,,ecommerce,L5_domain,,
detector.linguistic_anomaly.certainty_markers,influence_detector,1.5,UNCALIBRATED,organic content baseline comparison,,,universal,detector,,
detector.linguistic_anomaly.emotionality,influence_detector,2.0,UNCALIBRATED,organic content baseline comparison,,,universal,detector,,
detector.linguistic_anomaly.lexical_diversity,influence_detector,1.5,UNCALIBRATED,organic content baseline comparison,,,universal,detector,,
detector.linguistic_anomaly.reading_difficulty,influence_detector,1.0,UNCALIBRATED,organic content baseline comparison,,,universal,detector,,
detector.linguistic_anomaly.self_reference,influence_detector,1.0,UNCALIBRATED,organic content baseline comparison,,,universal,detector,,
detector.technique_count.elevated.lo,influence_detector,3,UNCALIBRATED,organic content baseline,,,universal,detector,,
detector.technique_count.normal.lo,influence_detector,0,UNCALIBRATED,organic content baseline,,,universal,detector,,
detector.technique_count.suspicious.lo,influence_detector,5,UNCALIBRATED,organic content baseline,,,universal,detector,,
mod.agreeableness_approach_mult,recipient_modulator,1.15,CONSTRAINED,Graziano 1996,,,universal,L4_recipient,,
mod.agreeableness_threshold,recipient_modulator,0.7,CONSTRAINED,Graziano 1996,,,universal,L4_recipient,,
mod.authority_approach_mult,recipient_modulator,1.15,CONSTRAINED,Milgram 1963,,,universal,L4_recipient,,
mod.authority_threshold,recipient_modulator,0.7,CONSTRAINED,Milgram 1963,,,universal,L4_recipient,,
mod.care_harm_approach_mult,recipient_modulator,1.35,UNCALIBRATED,Haidt 2001,,,universal,L4_recipient,,
mod.care_harm_threshold,recipient_modulator,0.7,UNCALIBRATED,Haidt 2001,,,universal,L4_recipient,,
mod.conscientiousness_delib_mult,recipient_modulator,0.6,CONSTRAINED,ELM,,,universal,L4_recipient,,
mod.conscientiousness_threshold,recipient_modulator,0.3,CONSTRAINED,ELM Petty & Cacioppo 1986,,,universal,L4_recipient,,
mod.extraversion_social_mult,recipient_modulator,1.4,CONSTRAINED,Eysenck 1967,,,universal,L4_recipient,,
mod.extraversion_threshold,recipient_modulator,0.7,CONSTRAINED,Eysenck 1967,,,universal,L4_recipient,,
mod.high_el_delib_mult,recipient_modulator,1.25,CONSTRAINED,ELM,,,universal,L4_recipient,,
mod.high_el_threshold,recipient_modulator,0.7,CONSTRAINED,ELM Petty & Cacioppo 1986,,,universal,L4_recipient,,
mod.high_involvement_threshold,recipient_modulator,0.7,UNCALIBRATED,,,,universal,L4_recipient,,
mod.liberty_avoidance_mult,recipient_modulator,1.5,UNCALIBRATED,Brehm 1966,,,universal,L4_recipient,,
mod.liberty_threshold,recipient_modulator,0.7,UNCALIBRATED,Brehm 1966,,,universal,L4_recipient,,
mod.low_el_delib_mult,recipient_modulator,0.7,CONSTRAINED,ELM,,,universal,L4_recipient,,
mod.low_el_threshold,recipient_modulator,0.3,CONSTRAINED,ELM,,,universal,L4_recipient,,
mod.low_involvement_threshold,recipient_modulator,0.3,UNCALIBRATED,,,,universal,L4_recipient,,
mod.loyalty_approach_mult,recipient_modulator,1.3,UNCALIBRATED,Haidt & Graham 2007,,,universal,L4_recipient,,
mod.loyalty_threshold,recipient_modulator,0.7,UNCALIBRATED,Haidt & Graham 2007,,,universal,L4_recipient,,
mod.neuroticism_avoidance_mult,recipient_modulator,1.4,CONSTRAINED,Eysenck 1967,,,universal,L4_recipient,,
mod.neuroticism_fomo_approach_mult,recipient_modulator,1.3,UNCALIBRATED,Vohs & Faber 2007,,,universal,L4_recipient,,
mod.neuroticism_threshold,recipient_modulator,0.7,CONSTRAINED,Eysenck 1967,,,universal,L4_recipient,,
mod.openness_approach_mult,recipient_modulator,1.2,UNCALIBRATED,McCrae 1987,,,universal,L4_recipient,,
mod.openness_threshold,recipient_modulator,0.7,UNCALIBRATED,McCrae 1987,,,universal,L4_recipient,,
mod.sanctity_insula_mult,recipient_modulator,1.4,UNCALIBRATED,Inbar 2009,,,universal,L4_recipient,,
mod.sanctity_threshold,recipient_modulator,0.7,UNCALIBRATED,Inbar 2009,,,universal,L4_recipient,,
tech.ad_hominem.appraisal.valence,technique_to_circuit,-0.2,UNCALIBRATED,"UNCALIBRATED: attacks person, not argument — triggers disgust in observers",,,universal,L3_technique,,
tech.ad_hominem.circuit.avoidance,technique_to_circuit,1.2,UNCALIBRATED,"UNCALIBRATED: attacks person, not argument — triggers disgust in observers",,,universal,L3_technique,,OUTLIER
tech.ad_hominem.insula_mod,technique_to_circuit,0.15,UNCALIBRATED,"UNCALIBRATED: attacks person, not argument — triggers disgust in observers",,,universal,L3_technique,,
tech.anchoring.appraisal.certainty,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: Tversky & Kahneman 1974 — anchoring shifts reference point,,,universal,L3_technique,,
tech.anchoring.circuit.deliberation,technique_to_circuit,0.9,CONSTRAINED,CONSTRAINED: Tversky & Kahneman 1974 — anchoring shifts reference point,,,universal,L3_technique,,OUTLIER
tech.anchoring.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: Tversky & Kahneman 1974 — anchoring shifts reference point,,,universal,L3_technique,,
tech.appeal_to_ignorance.appraisal.certainty,technique_to_circuit,-0.1,UNCALIBRATED,"UNCALIBRATED: shifts burden of proof, creates false uncertainty",,,universal,L3_technique,,
tech.appeal_to_ignorance.circuit.deliberation,technique_to_circuit,1.1,UNCALIBRATED,"UNCALIBRATED: shifts burden of proof, creates false uncertainty",,,universal,L3_technique,,OUTLIER
tech.appeal_to_ignorance.insula_mod,technique_to_circuit,0.1,UNCALIBRATED,"UNCALIBRATED: shifts burden of proof, creates false uncertainty",,,universal,L3_technique,,
tech.appeal_to_pity.appraisal.goal_relevance,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: sympathy produces compliance as escape from discomfort,,,universal,L3_technique,,
tech.appeal_to_pity.appraisal.valence,technique_to_circuit,-0.15,CONSTRAINED,CONSTRAINED: sympathy produces compliance as escape from discomfort,,,universal,L3_technique,,
tech.appeal_to_pity.circuit.approach,technique_to_circuit,1.05,CONSTRAINED,CONSTRAINED: sympathy produces compliance as escape from discomfort,,,universal,L3_technique,,OUTLIER
tech.appeal_to_pity.circuit.avoidance,technique_to_circuit,1.05,CONSTRAINED,CONSTRAINED: sympathy produces compliance as escape from discomfort,,,universal,L3_technique,,OUTLIER
tech.appeal_to_pity.insula_mod,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: sympathy produces compliance as escape from discomfort,,,universal,L3_technique,,
tech.authority_endorsement.appraisal.certainty,technique_to_circuit,0.15,CONSTRAINED,"CONSTRAINED: same mechanism as expert_testimony, institutional source",,,universal,L3_technique,,
tech.authority_endorsement.circuit.deliberation,technique_to_circuit,0.85,CONSTRAINED,"CONSTRAINED: same mechanism as expert_testimony, institutional source",,,universal,L3_technique,,OUTLIER
tech.authority_endorsement.insula_mod,technique_to_circuit,0.0,CONSTRAINED,"CONSTRAINED: same mechanism as expert_testimony, institutional source",,,universal,L3_technique,,
tech.bandwagon.appraisal.certainty,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: Salganik 2006 — social cascades are self-fulfilling,,,universal,L3_technique,,
tech.bandwagon.appraisal.temporal_proximity,technique_to_circuit,0.05,CONSTRAINED,CONSTRAINED: Salganik 2006 — social cascades are self-fulfilling,,,universal,L3_technique,,
tech.bandwagon.circuit.deliberation,technique_to_circuit,0.85,CONSTRAINED,CONSTRAINED: Salganik 2006 — social cascades are self-fulfilling,,,universal,L3_technique,,OUTLIER
tech.bandwagon.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: Salganik 2006 — social cascades are self-fulfilling,,,universal,L3_technique,,
tech.bandwagon_pressure.appraisal.agency,technique_to_circuit,-0.2,CONSTRAINED,CONSTRAINED: coercive social pressure — differs from legitimate bandwagon,,,universal,L3_technique,,
tech.bandwagon_pressure.appraisal.certainty,technique_to_circuit,0.05,CONSTRAINED,CONSTRAINED: coercive social pressure — differs from legitimate bandwagon,,,universal,L3_technique,,
tech.bandwagon_pressure.circuit.avoidance,technique_to_circuit,1.1,CONSTRAINED,CONSTRAINED: coercive social pressure — differs from legitimate bandwagon,,,universal,L3_technique,,OUTLIER
tech.bandwagon_pressure.circuit.deliberation,technique_to_circuit,0.85,CONSTRAINED,CONSTRAINED: coercive social pressure — differs from legitimate bandwagon,,,universal,L3_technique,,OUTLIER
tech.bandwagon_pressure.insula_mod,technique_to_circuit,0.2,CONSTRAINED,CONSTRAINED: coercive social pressure — differs from legitimate bandwagon,,,universal,L3_technique,,
tech.calibrated_question.appraisal.agency,technique_to_circuit,0.15,CONSTRAINED,CONSTRAINED: Voss (Never Split the Difference) — gives the illusion of control by making the other p,,,universal,L3_technique,,
tech.calibrated_question.appraisal.goal_relevance,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: Voss (Never Split the Difference) — gives the illusion of control by making the other p,,,universal,L3_technique,,
tech.calibrated_question.circuit.deliberation,technique_to_circuit,1.2,CONSTRAINED,CONSTRAINED: Voss (Never Split the Difference) — gives the illusion of control by making the other p,,,universal,L3_technique,,OUTLIER
tech.calibrated_question.insula_mod,technique_to_circuit,-0.1,CONSTRAINED,CONSTRAINED: Voss (Never Split the Difference) — gives the illusion of control by making the other p,,,universal,L3_technique,,
tech.commitment_consistency.appraisal.agency,technique_to_circuit,-0.05,CONSTRAINED,CONSTRAINED: Cialdini 2001 — consistency principle,,,universal,L3_technique,,
tech.commitment_consistency.appraisal.certainty,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: Cialdini 2001 — consistency principle,,,universal,L3_technique,,
tech.commitment_consistency.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: Cialdini 2001 — consistency principle,,,universal,L3_technique,,
tech.contrast_principle.appraisal.coping_potential,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: Cialdini 2001 — sequential contrast shifts the reference point. The target option appea,,,universal,L3_technique,,
tech.contrast_principle.appraisal.valence,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: Cialdini 2001 — sequential contrast shifts the reference point. The target option appea,,,universal,L3_technique,,
tech.contrast_principle.circuit.approach,technique_to_circuit,1.1,CONSTRAINED,CONSTRAINED: Cialdini 2001 — sequential contrast shifts the reference point. The target option appea,,,universal,L3_technique,,OUTLIER
tech.contrast_principle.circuit.deliberation,technique_to_circuit,0.9,CONSTRAINED,CONSTRAINED: Cialdini 2001 — sequential contrast shifts the reference point. The target option appea,,,universal,L3_technique,,OUTLIER
tech.contrast_principle.insula_mod,technique_to_circuit,-0.05,CONSTRAINED,CONSTRAINED: Cialdini 2001 — sequential contrast shifts the reference point. The target option appea,,,universal,L3_technique,,
tech.curiosity_gap.appraisal.goal_relevance,technique_to_circuit,0.15,CONSTRAINED,CONSTRAINED: Loewenstein 1994 (information gap theory) — incomplete information creates aversive aro,,,universal,L3_technique,,
tech.curiosity_gap.appraisal.novelty,technique_to_circuit,0.2,CONSTRAINED,CONSTRAINED: Loewenstein 1994 (information gap theory) — incomplete information creates aversive aro,,,universal,L3_technique,,
tech.curiosity_gap.circuit.approach,technique_to_circuit,1.15,CONSTRAINED,CONSTRAINED: Loewenstein 1994 (information gap theory) — incomplete information creates aversive aro,,,universal,L3_technique,,OUTLIER
tech.curiosity_gap.circuit.deliberation,technique_to_circuit,0.8,CONSTRAINED,CONSTRAINED: Loewenstein 1994 (information gap theory) — incomplete information creates aversive aro,,,universal,L3_technique,,OUTLIER
tech.curiosity_gap.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: Loewenstein 1994 (information gap theory) — incomplete information creates aversive aro,,,universal,L3_technique,,
tech.deceptive_information.appraisal.certainty,technique_to_circuit,0.15,CONSTRAINED,CONSTRAINED: false certainty triggers insula when detected,,,universal,L3_technique,,
tech.deceptive_information.insula_mod,technique_to_circuit,0.2,CONSTRAINED,CONSTRAINED: false certainty triggers insula when detected,,,universal,L3_technique,,
tech.door_in_the_face.appraisal.agency,technique_to_circuit,0.05,CONSTRAINED,"CONSTRAINED: Cialdini 1975 — reciprocal concessions. After rejecting the large request, the smaller ",,,universal,L3_technique,,
tech.door_in_the_face.appraisal.coping_potential,technique_to_circuit,0.15,CONSTRAINED,"CONSTRAINED: Cialdini 1975 — reciprocal concessions. After rejecting the large request, the smaller ",,,universal,L3_technique,,
tech.door_in_the_face.circuit.approach,technique_to_circuit,1.1,CONSTRAINED,"CONSTRAINED: Cialdini 1975 — reciprocal concessions. After rejecting the large request, the smaller ",,,universal,L3_technique,,OUTLIER
tech.door_in_the_face.insula_mod,technique_to_circuit,0.0,CONSTRAINED,"CONSTRAINED: Cialdini 1975 — reciprocal concessions. After rejecting the large request, the smaller ",,,universal,L3_technique,,
tech.emotional_appeal_negative.appraisal.goal_relevance,technique_to_circuit,0.1,CONSTRAINED,CONSTRAINED: negative affect increases attention allocation,,,universal,L3_technique,,
tech.emotional_appeal_negative.appraisal.valence,technique_to_circuit,-0.15,CONSTRAINED,CONSTRAINED: negative affect increases attention allocation,,,universal,L3_technique,,
tech.emotional_appeal_negative.circuit.avoidance,technique_to_circuit,1.1,CONSTRAINED,CONSTRAINED: negative affect increases attention allocation,,,universal,L3_technique,,OUTLIER
tech.emotional_appeal_negative.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: negative affect increases attention allocation,,,universal,L3_technique,,
tech.emotional_appeal_positive.appraisal.valence,technique_to_circuit,0.2,CONSTRAINED,CONSTRAINED: Brady 2017 — moral-emotional words +20% diffusion,,,universal,L3_technique,,
tech.emotional_appeal_positive.circuit.approach,technique_to_circuit,1.15,CONSTRAINED,CONSTRAINED: Brady 2017 — moral-emotional words +20% diffusion,,,universal,L3_technique,,OUTLIER
tech.emotional_appeal_positive.circuit.deliberation,technique_to_circuit,0.9,CONSTRAINED,CONSTRAINED: Brady 2017 — moral-emotional words +20% diffusion,,,universal,L3_technique,,OUTLIER
tech.emotional_appeal_positive.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: Brady 2017 — moral-emotional words +20% diffusion,,,universal,L3_technique,,
tech.emotional_manipulation.appraisal.agency,technique_to_circuit,-0.2,CONSTRAINED,CONSTRAINED: Craig 2009 — agency violation + emotional exploitation = disgust,,,universal,L3_technique,,
tech.emotional_manipulation.appraisal.valence,technique_to_circuit,-0.15,CONSTRAINED,CONSTRAINED: Craig 2009 — agency violation + emotional exploitation = disgust,,,universal,L3_technique,,
tech.emotional_manipulation.circuit.avoidance,technique_to_circuit,1.2,CONSTRAINED,CONSTRAINED: Craig 2009 — agency violation + emotional exploitation = disgust,,,universal,L3_technique,,OUTLIER
tech.emotional_manipulation.insula_mod,technique_to_circuit,0.25,CONSTRAINED,CONSTRAINED: Craig 2009 — agency violation + emotional exploitation = disgust,,,universal,L3_technique,,
tech.empathy_appeal.appraisal.goal_relevance,technique_to_circuit,0.15,CONSTRAINED,CONSTRAINED: TPJ perspective-taking increases goal relevance assessment,,,universal,L3_technique,,
tech.empathy_appeal.appraisal.valence,technique_to_circuit,0.05,CONSTRAINED,CONSTRAINED: TPJ perspective-taking increases goal relevance assessment,,,universal,L3_technique,,
tech.empathy_appeal.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: TPJ perspective-taking increases goal relevance assessment,,,universal,L3_technique,,
tech.evidence_based.appraisal.certainty,technique_to_circuit,0.2,CONSTRAINED,CONSTRAINED: specific numbers increase perceived credibility (processing fluency),,,universal,L3_technique,,
tech.evidence_based.appraisal.coping_potential,technique_to_circuit,0.05,CONSTRAINED,CONSTRAINED: specific numbers increase perceived credibility (processing fluency),,,universal,L3_technique,,
tech.evidence_based.insula_mod,technique_to_circuit,-0.05,CONSTRAINED,CONSTRAINED: specific numbers increase perceived credibility (processing fluency),,,universal,L3_technique,,
tech.expert_testimony.appraisal.certainty,technique_to_circuit,0.15,CONSTRAINED,CONSTRAINED: Milgram 1963 — authority reduces independent evaluation,,,universal,L3_technique,,
tech.expert_testimony.circuit.deliberation,technique_to_circuit,0.85,CONSTRAINED,CONSTRAINED: Milgram 1963 — authority reduces independent evaluation,,,universal,L3_technique,,OUTLIER
tech.expert_testimony.insula_mod,technique_to_circuit,0.0,CONSTRAINED,CONSTRAINED: Milgram 1963 — authority reduces independent evaluation,,,universal,L3_technique,,
tech.false_dilemma.appraisal.agency,technique_to_circuit,-0.2,CONSTRAINED,"CONSTRAINED: reduces perceived options, suppresses deliberation",,,universal,L3_technique,,
tech.false_dilemma.appraisal.certainty,technique_to_circuit,0.1,CONSTRAINED,"CONSTRAINED: reduces perceived options, suppresses deliberation",,,universal,L3_technique,,
tech.false_dilemma.circuit.deliberation,technique_to_circuit,0.8,CONSTRAINED,"CONSTRAINED: reduces perceived options, suppresses deliberation",,,universal,L3_technique,,OUTLIER
tech.false_dilemma.insula_mod,technique_to_circuit,0.15,CONSTRAINED,"CONSTRAINED: reduces perceived options, suppresses deliberation",,,universal,L3_technique,,
